CustomerID,Age,Gender,AnnualIncome,Tenure,Transactions,Transactions_w,AvgBalance,AvgBalance_w,LoanHistory,CreditCardUsage,DefaultHistory,Churn,z_Tenure,z_Transactions,z_AvgBalance,LFM_Cluster,LFM_Band
CUST1000,56,Male,1489600,8,119,119,430094.0,430094.0,0,0,0,0,-0.38461538461538464,-0.23076923076923078,0.08622639648526492,1,Low
CUST1001,69,Female,1040667,10,129,129,321413.55,321413.55,1,0,0,0,-0.23076923076923078,0.15384615384615385,-0.227606011378861,3,Medium
CUST1002,46,Female,2486789,19,126,126,747274.89,747274.89,0,1,0,0,0.46153846153846156,0.038461538461538464,1.0021376062491778,5,Ultra
CUST1003,32,Female,1422371,19,164,162,464287.69,464287.69,0,1,0,0,0.46153846153846156,1.4230769230769231,0.18496621644791214,5,Ultra
CUST1004,60,Male,1284148,10,147,147,388933.99,388933.99,1,1,0,0,-0.23076923076923078,0.8461538461538461,-0.032629801165844394,3,Medium
CUST1005,25,Female,2069060,6,156,156,518549.34,518549.34,1,0,0,0,-0.5384615384615384,1.1923076923076923,0.34165552233669394,3,Medium
CUST1006,38,Female,549207,25,122,122,135710.7,135710.7,0,1,0,0,0.9230769230769231,-0.11538461538461539,-0.7638530784707859,2,Very High
CUST1007,56,Female,821828,13,147,147,326065.14,326065.14,0,1,0,0,0.0,0.8461538461538461,-0.21417379159971306,3,Medium
CUST1008,36,Male,253533,25,109,109,44840.78,44840.78,0,0,0,1,0.9230769230769231,-0.6153846153846154,-1.026254695284302,2,Very High
CUST1009,40,Male,2158997,5,135,135,636757.15,636757.15,0,1,1,0,-0.6153846153846154,0.38461538461538464,0.6829997258309295,1,Low
CUST1010,28,Female,1429229,3,119,119,321416.0,321416.0,1,0,0,0,-0.7692307692307693,-0.23076923076923078,-0.2275989366069101,0,Very Low
CUST1011,28,Female,1368964,5,142,142,357806.24,357806.24,0,1,0,0,-0.6153846153846154,0.6538461538461539,-0.12251622263256214,3,Medium
CUST1012,41,Female,2063710,2,126,126,583067.57,583067.57,1,0,1,0,-0.8461538461538461,0.038461538461538464,0.5279623647543639,1,Low
CUST1013,53,Male,1372058,22,123,123,507706.45,507706.45,1,0,0,0,0.6923076923076923,-0.07692307692307693,0.3103449206884135,4,High
CUST1014,57,Male,995063,5,150,150,298243.78,298243.78,1,1,0,0,-0.6153846153846154,0.9615384615384616,-0.2945124762376095,3,Medium
CUST1015,41,Male,1897662,2,130,130,560577.72,560577.72,0,1,0,1,-0.8461538461538461,0.19230769230769232,0.46301927905677054,1,Low
CUST1016,20,Female,1842907,0,126,126,536339.33,536339.33,0,1,0,0,-1.0,0.038461538461538464,0.3930270008093971,1,Low
CUST1017,39,Male,2032723,25,131,131,544286.0,544286.0,1,1,0,0,0.9230769230769231,0.23076923076923078,0.4159742979599116,5,Ultra
CUST1018,19,Female,1692305,20,131,131,560760.01,560760.01,1,1,0,0,0.5384615384615384,0.23076923076923078,0.46354567096653504,5,Ultra
CUST1019,41,Female,313076,25,117,117,6463.88,20824.8033,0,0,0,0,0.9230769230769231,-0.3076923076923077,-1.0956047190923532,2,Very High
CUST1020,61,Male,1320368,17,128,128,388889.94,388889.94,1,1,0,0,0.3076923076923077,0.11538461538461539,-0.032757002677858846,2,Very High
CUST1021,47,Female,995005,22,142,142,191365.83,191365.83,0,0,0,0,0.6923076923076923,0.6538461538461539,-0.6031398733093153,2,Very High
CUST1022,55,Male,1051728,22,122,122,286025.38,286025.38,0,0,0,0,0.6923076923076923,-0.11538461538461539,-0.3297950858720658,2,Very High
CUST1023,19,Female,1917436,3,120,120,459015.15,459015.15,0,1,0,0,-0.7692307692307693,-0.19230769230769232,0.1697409029369733,1,Low
CUST1024,38,Female,527985,5,144,144,118099.42,118099.42,0,1,0,0,-0.6153846153846154,0.7307692307692307,-0.8147085028637593,3,Medium
CUST1025,50,Male,1794745,16,140,140,583339.97,583339.97,1,1,0,0,0.23076923076923078,0.5769230769230769,0.528748963888819,5,Ultra
CUST1026,29,Female,1056665,17,155,155,243392.38,243392.38,0,0,0,0,0.3076923076923077,1.1538461538461537,-0.4529047808031346,2,Very High
CUST1027,39,Female,1955478,5,71,88,556403.06,556403.06,0,1,0,0,-0.6153846153846154,-1.4230769230769231,0.4509642719251841,1,Low
