CustomerID,Age,Gender,AnnualIncome,Tenure,Transactions,Transactions_w,AvgBalance,AvgBalance_w,LoanHistory,CreditCardUsage,DefaultHistory,Churn,z_Tenure,z_Transactions,z_AvgBalance,LFM_Cluster,LFM_Band,P_Hard,P_Soft
CUST1000,56,Male,1489600,8,119,119,430094.0,430094.0,0,0,0,0,-0.3846153846153846,-0.2307692307692307,0.0862263964852649,1,Low,0.0,0.23161558198019977
CUST1001,69,Female,1040667,10,129,129,321413.55,321413.55,1,0,0,0,-0.2307692307692307,0.1538461538461538,-0.227606011378861,3,Medium,0.0,0.27141158046612446
CUST1002,46,Female,2486789,19,126,126,747274.89,747274.89,0,1,0,0,0.4615384615384615,0.0384615384615384,1.0021376062491778,5,Ultra,0.0,0.25778147499012494
CUST1003,32,Female,1422371,19,164,162,464287.69,464287.69,0,1,0,0,0.4615384615384615,1.4230769230769231,0.1849662164479121,5,Ultra,0.0,0.22159476178228904
CUST1004,60,Male,1284148,10,147,147,388933.99,388933.99,1,1,0,0,-0.2307692307692307,0.8461538461538461,-0.0326298011658443,3,Medium,0.0,0.22817712015533345
CUST1005,25,Female,2069060,6,156,156,518549.34,518549.34,1,0,0,0,-0.5384615384615384,1.1923076923076923,0.3416555223366939,3,Medium,0.0,0.2546932881897951
CUST1006,38,Female,549207,25,122,122,135710.7,135710.7,0,1,0,0,0.9230769230769232,-0.1153846153846153,-0.7638530784707859,2,Very High,0.0,0.2709510996982269
CUST1007,56,Female,821828,13,147,147,326065.14,326065.14,0,1,0,0,0.0,0.8461538461538461,-0.214173791599713,3,Medium,0.0,0.24563681915939659
CUST1008,36,Male,253533,25,109,109,44840.78,44840.78,0,0,0,1,0.9230769230769232,-0.6153846153846154,-1.026254695284302,2,Very High,0.8533227429176596,0.25707067673384426
CUST1009,40,Male,2158997,5,135,135,636757.15,636757.15,0,1,1,0,-0.6153846153846154,0.3846153846153846,0.6829997258309295,1,Low,0.6460972226305798,0.4789958019040511
CUST1010,28,Female,1429229,3,119,119,321416.0,321416.0,1,0,0,0,-0.7692307692307693,-0.2307692307692307,-0.2275989366069101,0,Very Low,0.0,0.2982433776928764
CUST1011,28,Female,1368964,5,142,142,357806.24,357806.24,0,1,0,0,-0.6153846153846154,0.6538461538461539,-0.1225162226325621,3,Medium,0.0,0.28786559197925077
CUST1012,41,Female,2063710,2,126,126,583067.57,583067.57,1,0,1,0,-0.8461538461538461,0.0384615384615384,0.5279623647543639,1,Low,0.966764652948587,0.537336894192862
CUST1013,53,Male,1372058,22,123,123,507706.45,507706.45,1,0,0,0,0.6923076923076923,-0.0769230769230769,0.3103449206884135,4,High,0.0,0.2533775434461708
CUST1014,57,Male,995063,5,150,150,298243.78,298243.78,1,1,0,0,-0.6153846153846154,0.9615384615384616,-0.2945124762376095,3,Medium,0.0,0.21334436826313138
CUST1015,41,Male,1897662,2,130,130,560577.72,560577.72,0,1,0,1,-0.8461538461538461,0.1923076923076923,0.4630192790567705,1,Low,0.8527436776230882,0.2140912995314808
CUST1016,20,Female,1842907,0,126,126,536339.33,536339.33,0,1,0,0,-1.0,0.0384615384615384,0.3930270008093971,1,Low,0.8527436776230882,0.2555754996804729
CUST1017,39,Male,2032723,25,131,131,544286.0,544286.0,1,1,0,0,0.9230769230769232,0.2307692307692307,0.4159742979599116,5,Ultra,0.0,0.2585113665874695
CUST1018,19,Female,1692305,20,131,131,560760.01,560760.01,1,1,0,0,0.5384615384615384,0.2307692307692307,0.463545670966535,5,Ultra,0.0,0.2590552021602363
CUST1019,41,Female,313076,25,117,117,6463.88,20824.8033,0,0,0,0,0.9230769230769232,-0.3076923076923077,-1.0956047190923532,2,Very High,0.8533227429176596,0.25008287928435874
CUST1020,61,Male,1320368,17,128,128,388889.94,388889.94,1,1,0,0,0.3076923076923077,0.1153846153846153,-0.0327570026778588,2,Very High,0.0,0.3056626852157862
CUST1021,47,Female,995005,22,142,142,191365.83,191365.83,0,0,0,0,0.6923076923076923,0.6538461538461539,-0.6031398733093153,2,Very High,0.0,0.3130734940687073
CUST1022,55,Male,1051728,22,122,122,286025.38,286025.38,0,0,0,0,0.6923076923076923,-0.1153846153846153,-0.3297950858720658,2,Very High,0.0,0.21231686194154395
CUST1023,19,Female,1917436,3,120,120,459015.15,459015.15,0,1,0,0,-0.7692307692307693,-0.1923076923076923,0.1697409029369733,1,Low,0.0,0.25901580593274387
CUST1024,38,Female,527985,5,144,144,118099.42,118099.42,0,1,0,0,-0.6153846153846154,0.7307692307692307,-0.8147085028637593,3,Medium,0.0,0.2842439962841212
CUST1025,50,Male,1794745,16,140,140,583339.97,583339.97,1,1,0,0,0.2307692307692307,0.5769230769230769,0.528748963888819,5,Ultra,0.0,0.2794925409977412
CUST1026,29,Female,1056665,17,155,155,243392.38,243392.38,0,0,0,0,0.3076923076923077,1.1538461538461535,-0.4529047808031346,2,Very High,0.0,0.23874971521158792
CUST1027,39,Female,1955478,5,71,88,556403.06,556403.06,0,1,0,0,-0.6153846153846154,-1.4230769230769231,0.4509642719251841,1,Low,0.0,0.2780930991646673
CUST1028,61,Female,789573,1,132,132,280662.96,280662.96,0,1,0,0,-0.9230769230769232,0.2692307692307692,-0.3452799424454305,3,Medium,0.8527436776230882,0.27054353048797425
