CustomerID,P_Hard,P_Soft,change_score,Churn,Delta_Tx,Delta_Bal,Delta_Tenure
CUST1000,0.0,0.2316155819801997,0.0,0,0.05973174851867423,0.059984294325413696,1
CUST1001,0.0,0.2714115804661244,0.0,0,-0.08061074152655995,0.07154947582029535,1
CUST1002,0.0,0.2577814749901249,0.0,0,-0.03194436963611355,0.11852009109991037,1
CUST1003,0.0,0.221594761782289,0.2,0,0.00033549146751703284,-0.0018133732291154264,0
CUST1004,0.0,0.2281771201553334,0.2,0,0.1248534961285591,0.03182558700123856,0
CUST1005,0.0,0.2546932881897951,0.2,0,0.12486112594510382,-0.062287767661663274,0
CUST1006,0.0,0.2709510996982269,0.0,0,0.15671003035465117,0.16546395335028286,1
CUST1007,0.0,0.2456368191593965,0.2,0,-0.062392207138129034,-0.010848011938324752,0
CUST1008,0.8533227429176596,0.2570706767338442,0.0,1,-0.00027867525425695076,-0.03914265662801575,1
CUST1009,0.6460972226305798,0.4789958019040511,0.2,0,-0.026307368175570556,-0.038342849901166966,0
CUST1010,0.0,0.2982433776928764,0.2,0,0.16939078881706796,-0.06674499070518489,0
CUST1011,0.0,0.2878655919792507,0.2,0,-0.08464930963712762,-0.03125034835415802,0
CUST1012,0.966764652948587,0.537336894192862,0.2,0,-0.05491926542835889,-0.07574502045565545,0
CUST1013,0.0,0.2533775434461708,0.0,0,0.10731575232673374,0.07162282225263818,1
CUST1014,0.0,0.2133443682631313,0.2,0,0.1167491534682577,0.024797691569675397,0
CUST1015,0.8527436776230882,0.2140912995314808,0.2,1,0.11625689731679366,0.17161882395963304,0
CUST1016,0.8527436776230882,0.2555754996804729,0.2,0,0.07984298478389039,0.17406803504299553,0
CUST1017,0.0,0.2585113665874695,0.0,0,0.019171525591072044,0.09886287403481632,1
CUST1018,0.0,0.2590552021602363,0.2,0,0.04385631331877399,0.1425936290547115,0
CUST1019,0.8533227429176596,0.2500828792843587,0.2,0,0.0836498759828797,0.09283306287742514,0
CUST1020,0.0,0.3056626852157862,0.0,0,-0.0029544689283030542,0.11824198664818385,1
CUST1021,0.0,0.3130734940687073,0.0,0,0.13010508210434482,0.16668415847687706,1
CUST1022,0.0,0.2123168619415439,0.2,0,0.08338117294156311,-0.07177589139629623,0
CUST1023,0.0,0.2590158059327438,0.0,0,0.0620328493191168,0.17363207917961418,1
CUST1024,0.0,0.2842439962841212,0.0,0,0.03732557146837906,-0.03290121897685279,1
CUST1025,0.0,0.2794925409977412,0.2,0,-0.044245681209393956,0.12607924200725446,0
CUST1026,0.0,0.2387497152115879,0.2,0,0.11121180475459792,-0.07240561133542286,0
CUST1027,0.0,0.2780930991646673,0.2,0,0.021911196923899146,-0.06820634936070549,0
CUST1028,0.8527436776230882,0.2705435304879742,0.0,0,0.0018999607899236582,-0.013296117597127979,1
CUST1029,0.6460972226305798,0.4105038836360156,0.2,0,0.16061440641565228,-0.017738211297143203,0
CUST1030,0.6460972226305798,0.4773951586089983,0.2,0,-0.001882661874104565,0.17462603084119027,0
CUST1031,0.0,0.2275710570607504,0.2,0,0.1202837066590626,-0.0877725972837835,0
CUST1032,0.0,0.3261337224234509,0.0,0,0.1543839659119884,-0.06494704896670729,1
CUST1033,0.0,0.2692093055731906,0.2,0,-0.08022412506944993,-0.06870754999311555,0
CUST1034,0.0,0.2623317455267802,0.2,0,-0.08375237086050477,-0.014594966257912165,0
CUST1035,0.0,0.2452418128101355,0.0,0,-0.04951940866746661,0.06815156007745371,1
CUST1036,0.0,0.3120332056962999,0.0,0,0.07973469010037741,-0.06839140160028793,1
CUST1037,0.0,0.2316076485164422,0.2,0,0.14361777480000204,0.083565395433065,0
CUST1038,0.0,0.299157252508809,0.2,0,-0.020623952150960023,0.009409833708548846,0
CUST1039,0.0,0.2574623733157336,0.2,0,0.041625301735019465,0.14294499537519345,0
CUST1040,0.0,0.2987099255280878,0.0,0,0.13570601262262716,-0.07449304381749551,1
CUST1041,0.6460972226305798,0.4258703485357789,0.2,0,0.026910995907945958,0.12969763154820696,0
CUST1042,0.6460972226305798,0.5014943802073084,0.2,0,0.16469059205366662,0.10347968904290238,0
CUST1043,0.0,0.2460638620002364,0.0,0,-0.0717793928549774,0.010577165957301137,1
CUST1044,0.0,0.2887380691857475,0.0,0,0.09326060055974299,-0.03940666075531677,1
CUST1045,0.906508409742926,0.4609853190727006,0.2,0,-0.015390016343977927,-0.0048145346010732455,0
CUST1046,0.0,0.2557435064560036,0.0,0,0.07767008746120532,0.10128098138216535,1
CUST1047,0.0,0.2745455951768933,0.2,0,0.020390457101857325,0.17614436642470407,0
CUST1048,0.4368392518297639,0.2443850055969031,0.2,0,0.013502313796792802,-0.03780247486147526,0
CUST1049,0.6460972226305798,0.4551350673854686,0.0,0,0.11580541124468444,-0.08784244330592994,1
CUST1050,0.0,0.2991298945913498,0.0,0,-0.08458118087842942,-0.04986162761734825,1
CUST1051,0.0,0.2273712249277237,0.0,0,-0.04194664715364134,0.03621396357020414,1
CUST1052,0.0,0.243411664926035,0.0,0,-0.07823459485435795,-0.07058171200929575,1
CUST1053,0.0,0.2306608738736837,0.2,0,-0.0686470785369969,0.04991074268489341,0
CUST1054,0.0,0.2936832682839234,0.0,0,0.0005252810725742666,0.01912539526660651,1
CUST1055,0.0,0.2337083171830714,0.0,0,-0.07447561347684506,0.03169102918287151,1
CUST1056,0.0,0.251040279133611,0.2,0,0.14662708824720525,0.039602656698590734,0
CUST1057,0.0,0.2829269931304874,0.2,0,0.11235235345617262,-0.04195994362277573,0
CUST1058,0.0,0.2403193270719258,0.2,0,0.16102644747856215,0.018649198478407472,0
CUST1059,0.0,0.2526764481934231,0.0,0,0.07373028559871624,0.07621857372358339,1
